Sample ID, Description, T_420nm, T_360nm, T_620nm, T_400nm
Sample2627, , 78.6, 77.02, 80.21, 78.25
Sample2626, , 77.16, 73.99, 79.94, 76.99
Sample2625, , 76.59, 69.91, 79.83, 75.79
Sample2624, , 77.03, 69.87, 80.21, 76.24
Sample2623, , 77.2, 75.42, 79.83, 76.87
Sample2622, , 75.8, 72.48, 79.22, 75.54
Sample2621, , 75.61, 70.04, 79.18, 74.85
Sample2620, , 75.7, 69.6, 78.74, 75.04
