nm, %T
800.000000, 42.131190
799.000000, 42.101840
798.000000, 42.080022
797.000000, 42.157017
796.000000, 42.024700
795.000000, 42.234267
794.000000, 42.141142
793.000000, 42.205496
792.000000, 42.142197
791.000000, 42.058562
790.000000, 42.065706
789.000000, 42.025657
788.000000, 41.975429
787.000000, 42.118724
786.000000, 42.074500
785.000000, 42.167462
784.000000, 42.222305
783.000000, 42.132633
782.000000, 42.142452
781.000000, 42.185379
780.000000, 42.158991
779.000000, 42.080054
778.000000, 42.031379
777.000000, 42.095425
776.000000, 42.082146
775.000000, 42.122936
774.000000, 42.216018
773.000000, 42.054919
772.000000, 42.066171
771.000000, 42.101523
770.000000, 42.070626
769.000000, 42.105251
768.000000, 42.047832
767.000000, 42.107420
766.000000, 42.146090
765.000000, 42.084033
764.000000, 41.964497
763.000000, 42.046121
762.000000, 42.072063
761.000000, 42.110441
760.000000, 42.050884
759.000000, 41.984813
758.000000, 41.998976
757.000000, 41.969153
756.000000, 41.951699
755.000000, 41.925975
754.000000, 41.999303
753.000000, 41.982406
752.000000, 41.985424
751.000000, 42.034571
750.000000, 42.058640
749.000000, 42.085003
748.000000, 42.068600
747.000000, 42.073158
746.000000, 41.965649
745.000000, 42.002049
744.000000, 41.964071
743.000000, 41.976617
742.000000, 42.005386
741.000000, 42.012515
740.000000, 42.022497
739.000000, 41.935950
738.000000, 41.898617
737.000000, 41.895676
736.000000, 41.986127
735.000000, 41.997579
734.000000, 41.955997
733.000000, 42.006304
732.000000, 41.951217
731.000000, 41.976547
730.000000, 42.010973
729.000000, 41.963869
728.000000, 41.920866
727.000000, 41.922246
726.000000, 41.914114
725.000000, 41.900226
724.000000, 41.950600
723.000000, 41.895594
722.000000, 41.868689
721.000000, 41.948860
720.000000, 41.930858
719.000000, 41.925852
718.000000, 41.948052
717.000000, 41.911327
716.000000, 41.908572
715.000000, 41.891264
714.000000, 41.828471
713.000000, 41.895448
712.000000, 41.947875
711.000000, 41.907574
710.000000, 41.849173
709.000000, 41.833489
708.000000, 41.858119
707.000000, 41.893108
706.000000, 41.821316
705.000000, 41.906551
704.000000, 41.927503
703.000000, 41.906679
702.000000, 41.851941
701.000000, 41.891763
700.000000, 41.908112
699.000000, 41.915388
698.000000, 41.937916
697.000000, 41.941685
696.000000, 41.901537
695.000000, 41.861916
694.000000, 41.859862
693.000000, 41.836198
692.000000, 41.875041
691.000000, 41.869135
690.000000, 41.833149
689.000000, 41.824188
688.000000, 41.793044
687.000000, 41.792824
686.000000, 41.789784
685.000000, 41.833386
684.000000, 41.739306
683.000000, 41.723530
682.000000, 41.807270
681.000000, 41.858529
680.000000, 41.851726
679.000000, 41.824396
678.000000, 41.783757
677.000000, 41.765445
676.000000, 41.755348
675.000000, 41.747232
674.000000, 41.775144
673.000000, 41.757296
672.000000, 41.822677
671.000000, 41.918753
670.000000, 41.889985
669.000000, 41.920963
668.000000, 41.913121
667.000000, 41.836565
