nm, %T
800.000000, 0.940665
799.000000, 0.928205
798.000000, 0.939083
797.000000, 0.937311
796.000000, 0.932595
795.000000, 0.938766
794.000000, 0.944274
793.000000, 0.944437
792.000000, 0.943707
791.000000, 0.947004
790.000000, 0.931286
789.000000, 0.927839
788.000000, 0.923904
787.000000, 0.937687
786.000000, 0.930025
785.000000, 0.947006
784.000000, 0.943608
783.000000, 0.935443
782.000000, 0.943365
781.000000, 0.928277
780.000000, 0.931093
779.000000, 0.933291
778.000000, 0.938368
777.000000, 0.937244
776.000000, 0.936987
775.000000, 0.941676
774.000000, 0.936594
773.000000, 0.935339
772.000000, 0.945130
771.000000, 0.940579
770.000000, 0.939949
769.000000, 0.941520
768.000000, 0.947466
767.000000, 0.930057
766.000000, 0.938201
765.000000, 0.942394
764.000000, 0.939670
763.000000, 0.940137
762.000000, 0.934444
761.000000, 0.927275
760.000000, 0.921312
759.000000, 0.930834
758.000000, 0.937109
757.000000, 0.931330
756.000000, 0.935821
755.000000, 0.937301
754.000000, 0.932241
753.000000, 0.923444
752.000000, 0.940391
751.000000, 0.940063
750.000000, 0.941360
749.000000, 0.932628
748.000000, 0.925677
747.000000, 0.931907
746.000000, 0.928640
745.000000, 0.929802
744.000000, 0.932071
743.000000, 0.933396
742.000000, 0.931888
741.000000, 0.933815
740.000000, 0.928840
739.000000, 0.933156
738.000000, 0.926196
737.000000, 0.921258
736.000000, 0.924784
735.000000, 0.925091
734.000000, 0.924762
733.000000, 0.928514
732.000000, 0.919419
731.000000, 0.921122
730.000000, 0.920676
729.000000, 0.913799
728.000000, 0.910424
727.000000, 0.911495
726.000000, 0.909351
725.000000, 0.906704
724.000000, 0.907132
723.000000, 0.904638
722.000000, 0.908677
721.000000, 0.903988
720.000000, 0.904794
719.000000, 0.902599
718.000000, 0.903750
717.000000, 0.913427
716.000000, 0.907143
715.000000, 0.899606
714.000000, 0.898112
713.000000, 0.906849
712.000000, 0.897820
711.000000, 0.902244
710.000000, 0.896097
709.000000, 0.902059
708.000000, 0.900308
707.000000, 0.903408
706.000000, 0.905221
705.000000, 0.901806
704.000000, 0.897364
703.000000, 0.890027
702.000000, 0.892393
701.000000, 0.898024
700.000000, 0.900593
699.000000, 0.899459
698.000000, 0.899677
697.000000, 0.897790
696.000000, 0.900305
695.000000, 0.895844
694.000000, 0.896546
693.000000, 0.895408
692.000000, 0.894031
691.000000, 0.898660
690.000000, 0.909877
689.000000, 0.908916
688.000000, 0.908737
687.000000, 0.914686
686.000000, 0.915065
685.000000, 0.908703
684.000000, 0.906423
683.000000, 0.910805
682.000000, 0.911948
681.000000, 0.913334
680.000000, 0.911211
679.000000, 0.910938
678.000000, 0.909158
677.000000, 0.912165
676.000000, 0.913739
675.000000, 0.912678
674.000000, 0.915040
673.000000, 0.916680
672.000000, 0.912822
671.000000, 0.908130
670.000000, 0.911179
669.000000, 0.916902
668.000000, 0.914655
667.000000, 0.915014
666.000000, 0.916529
665.000000, 0.910708
664.000000, 0.907088
663.000000, 0.913006
662.000000, 0.914648
661.000000, 0.913467
660.000000, 0.915992
659.000000, 0.915058
658.000000, 0.914133
657.000000, 0.911030
656.000000, 0.910817
655.000000, 0.914249
654.000000, 0.916649
653.000000, 0.917447
652.000000, 0.915695
651.000000, 0.917630
650.000000, 0.919303
649.000000, 0.916523
648.000000, 0.917493
647.000000, 0.913407
646.000000, 0.915222
645.000000, 0.922002
644.000000, 0.920203
643.000000, 0.918760
642.000000, 0.917874
641.000000, 0.917778
640.000000, 0.917246
639.000000, 0.916949
638.000000, 0.920333
637.000000, 0.918348
636.000000, 0.916355
635.000000, 0.917959
634.000000, 0.920726
633.000000, 0.923167
632.000000, 0.924337
631.000000, 0.921350
630.000000, 0.920130
629.000000, 0.915565
628.000000, 0.917827
627.000000, 0.921508
626.000000, 0.924572
625.000000, 0.926233
624.000000, 0.926599
623.000000, 0.924000
622.000000, 0.920175
621.000000, 0.919846
620.000000, 0.923292
619.000000, 0.924446
618.000000, 0.924402
617.000000, 0.925248
616.000000, 0.924300
615.000000, 0.920632
614.000000, 0.922650
613.000000, 0.926104
612.000000, 0.927580
611.000000, 0.928582
610.000000, 0.928211
609.000000, 0.924913
608.000000, 0.924286
607.000000, 0.924720
606.000000, 0.927541
605.000000, 0.927267
604.000000, 0.929198
603.000000, 0.930172
602.000000, 0.926585
601.000000, 0.927381
600.000000, 0.931188
599.000000, 0.931761
598.000000, 0.933683
597.000000, 0.935423
596.000000, 0.933774
595.000000, 0.927605
594.000000, 0.930651
593.000000, 0.931058
592.000000, 0.928754
591.000000, 0.926939
590.000000, 0.928561
589.000000, 0.933523
588.000000, 0.930259
587.000000, 0.930414
586.000000, 0.934000
585.000000, 0.934801
584.000000, 0.937764
583.000000, 0.938625
582.000000, 0.937217
581.000000, 0.936469
580.000000, 0.937694
579.000000, 0.941888
578.000000, 0.940784
577.000000, 0.940566
576.000000, 0.939743
575.000000, 0.938462
574.000000, 0.943575
573.000000, 0.942292
572.000000, 0.946988
571.000000, 0.948684
570.000000, 0.947967
569.000000, 0.955456
568.000000, 0.956411
567.000000, 0.964742
566.000000, 0.964509
565.000000, 0.973402
564.000000, 0.972288
563.000000, 0.974783
562.000000, 0.989609
561.000000, 1.001979
560.000000, 0.999311
559.000000, 0.997919
558.000000, 1.003147
557.000000, 1.006979
556.000000, 1.004592
555.000000, 1.003244
554.000000, 1.001658
553.000000, 1.000623
552.000000, 1.001902
551.000000, 1.001142
550.000000, 1.000763
549.000000, 0.999451
548.000000, 0.992837
547.000000, 0.991728
546.000000, 0.992102
545.000000, 0.991267
544.000000, 0.997847
543.000000, 1.000895
542.000000, 0.996738
541.000000, 0.996234
540.000000, 0.995290
539.000000, 0.999222
538.000000, 0.995130
537.000000, 0.997943
536.000000, 0.996835
535.000000, 0.991019
534.000000, 0.994335
533.000000, 0.985440
532.000000, 0.992001
531.000000, 0.990819
530.000000, 0.991801
529.000000, 0.992209
528.000000, 0.994424
527.000000, 0.998056
526.000000, 0.998073
525.000000, 0.992720
524.000000, 0.991761
523.000000, 0.992760
522.000000, 0.993458
521.000000, 0.990962
520.000000, 0.991338
519.000000, 0.992630
518.000000, 0.984347
517.000000, 0.991283
516.000000, 0.991649
515.000000, 0.982848
514.000000, 0.988992
513.000000, 0.986803
512.000000, 0.987110
511.000000, 0.987084
510.000000, 0.991791
509.000000, 0.987074
508.000000, 0.995418
507.000000, 0.987817
506.000000, 0.982114
505.000000, 0.991031
504.000000, 0.985680
503.000000, 0.986349
502.000000, 0.991372
501.000000, 0.982471
500.000000, 0.984867
499.000000, 0.982211
498.000000, 0.976440
497.000000, 0.974369
496.000000, 0.977645
495.000000, 0.966638
494.000000, 0.973957
493.000000, 0.966377
492.000000, 0.969332
491.000000, 0.972686
490.000000, 0.976062
489.000000, 0.974312
488.000000, 0.975925
487.000000, 0.970764
486.000000, 0.975018
485.000000, 0.987683
484.000000, 0.983133
483.000000, 0.986402
482.000000, 0.994009
481.000000, 0.992914
480.000000, 0.995949
479.000000, 0.991413
478.000000, 0.985086
477.000000, 0.989169
476.000000, 0.990041
475.000000, 0.996994
474.000000, 0.997748
473.000000, 1.006693
472.000000, 1.002747
471.000000, 0.999241
470.000000, 0.994407
469.000000, 1.000654
468.000000, 0.993501
467.000000, 0.993199
466.000000, 0.994219
465.000000, 0.996659
464.000000, 1.000207
463.000000, 0.997615
462.000000, 1.000590
461.000000, 1.000102
460.000000, 0.997655
459.000000, 1.002887
458.000000, 0.995130
457.000000, 0.993507
456.000000, 0.995753
455.000000, 0.996987
454.000000, 1.004696
453.000000, 0.999512
452.000000, 0.995039
451.000000, 0.994547
450.000000, 0.996492
449.000000, 0.987735
448.000000, 0.990684
447.000000, 0.995432
446.000000, 1.000169
445.000000, 0.996549
444.000000, 0.993802
443.000000, 0.996478
442.000000, 0.991100
441.000000, 0.992956
440.000000, 0.996362
439.000000, 0.989184
438.000000, 0.994404
437.000000, 0.991936
436.000000, 0.994718
435.000000, 0.990848
434.000000, 0.987400
433.000000, 0.993807
432.000000, 0.995129
431.000000, 0.992904
430.000000, 0.992119
429.000000, 0.988055
428.000000, 0.988711
427.000000, 0.985446
426.000000, 0.989778
425.000000, 0.991712
424.000000, 0.988500
423.000000, 0.992431
422.000000, 0.996051
421.000000, 0.994205
420.000000, 0.995770
419.000000, 0.990810
418.000000, 0.988459
417.000000, 0.987127
416.000000, 0.987479
415.000000, 0.983225
414.000000, 0.986005
413.000000, 0.991559
412.000000, 0.993247
411.000000, 0.991153
410.000000, 0.992864
409.000000, 0.997384
408.000000, 0.993746
407.000000, 0.993302
406.000000, 0.988970
405.000000, 0.980271
404.000000, 0.982584
403.000000, 0.990170
402.000000, 0.991356
401.000000, 0.987560
400.000000, 0.986729
399.000000, 0.991880
398.000000, 0.988368
397.000000, 0.985975
396.000000, 0.987446
395.000000, 0.982856
394.000000, 0.982816
393.000000, 0.985257
392.000000, 0.978828
391.000000, 0.980815
390.000000, 0.980584
389.000000, 0.974480
388.000000, 0.977970
387.000000, 0.978244
386.000000, 0.981303
385.000000, 0.977811
