Sample ID, Description, Type
Sample2642, , Sample
Sample2641, , Sample
Sample2640, , Sample
Sample2639, , Sample
Sample2638, , Sample
Sample2637, , Sample
Sample2636, , Sample
Sample2635, , Sample
Sample2634, , Sample
Sample2633, , Sample
Sample2632, , Sample
