nm, %T
800.000000, 79.757752
799.000000, 79.555805
798.000000, 79.606546
797.000000, 79.630236
796.000000, 79.731574
795.000000, 79.776947
794.000000, 79.619069
793.000000, 79.545556
792.000000, 79.711604
791.000000, 79.733714
790.000000, 79.667887
789.000000, 79.546780
788.000000, 79.598748
787.000000, 79.598098
786.000000, 79.650714
785.000000, 79.800361
784.000000, 79.708474
783.000000, 79.684579
782.000000, 79.583359
781.000000, 79.790347
780.000000, 79.670309
779.000000, 79.650861
778.000000, 79.609000
777.000000, 79.695814
776.000000, 79.665370
775.000000, 79.804795
774.000000, 79.556707
773.000000, 79.503082
772.000000, 79.726184
771.000000, 79.747556
770.000000, 79.673782
769.000000, 79.572294
768.000000, 79.528042
767.000000, 79.690148
766.000000, 79.676503
765.000000, 79.627775
764.000000, 79.501009
763.000000, 79.618402
762.000000, 79.700518
761.000000, 79.592038
760.000000, 79.589409
759.000000, 79.619475
758.000000, 79.614864
757.000000, 79.444107
756.000000, 79.561410
755.000000, 79.575439
754.000000, 79.523167
753.000000, 79.635382
752.000000, 79.681490
751.000000, 79.630293
750.000000, 79.503963
749.000000, 79.531423
748.000000, 79.610876
747.000000, 79.600412
746.000000, 79.724805
745.000000, 79.558605
744.000000, 79.326490
743.000000, 79.432374
742.000000, 79.494133
741.000000, 79.446335
740.000000, 79.538019
739.000000, 79.512482
738.000000, 79.554334
737.000000, 79.536323
736.000000, 79.455379
735.000000, 79.391109
734.000000, 79.393978
733.000000, 79.370026
732.000000, 79.488419
731.000000, 79.619973
730.000000, 79.506983
729.000000, 79.595311
728.000000, 79.581575
727.000000, 79.394554
726.000000, 79.431206
725.000000, 79.534009
724.000000, 79.511854
723.000000, 79.528749
722.000000, 79.503168
721.000000, 79.377503
720.000000, 79.349827
719.000000, 79.413354
718.000000, 79.417509
717.000000, 79.415886
716.000000, 79.458787
715.000000, 79.473998
714.000000, 79.460162
713.000000, 79.443470
712.000000, 79.464435
711.000000, 79.436117
710.000000, 79.392262
709.000000, 79.368835
708.000000, 79.409175
707.000000, 79.383239
706.000000, 79.376692
705.000000, 79.288133
704.000000, 79.287324
703.000000, 79.285638
702.000000, 79.375800
701.000000, 79.346569
700.000000, 79.262337
699.000000, 79.324873
698.000000, 79.342898
697.000000, 79.285243
696.000000, 79.326579
695.000000, 79.306600
694.000000, 79.307537
693.000000, 79.278141
692.000000, 79.295300
691.000000, 79.278535
690.000000, 79.297314
689.000000, 79.294992
688.000000, 79.323481
687.000000, 79.282787
686.000000, 79.255391
685.000000, 79.278882
684.000000, 79.303757
683.000000, 79.296065
682.000000, 79.246911
681.000000, 79.168589
680.000000, 79.223397
679.000000, 79.239527
678.000000, 79.247200
677.000000, 79.260680
676.000000, 79.217086
675.000000, 79.218047
674.000000, 79.190037
673.000000, 79.184864
672.000000, 79.182059
671.000000, 79.149327
670.000000, 79.141080
669.000000, 79.170670
668.000000, 79.187874
667.000000, 79.145152
666.000000, 79.139885
665.000000, 79.137348
664.000000, 79.155295
663.000000, 79.155024
662.000000, 79.148318
661.000000, 79.134153
660.000000, 79.132257
659.000000, 79.155296
658.000000, 79.184661
657.000000, 79.184405
656.000000, 79.090722
655.000000, 79.068781
654.000000, 79.101743
653.000000, 79.103597
652.000000, 79.122306
651.000000, 79.055293
650.000000, 79.028737
649.000000, 79.070276
648.000000, 79.091222
647.000000, 79.078810
646.000000, 79.075346
645.000000, 79.085427
644.000000, 79.076569
643.000000, 79.019532
642.000000, 79.014460
641.000000, 79.026404
640.000000, 78.982204
639.000000, 78.962964
638.000000, 79.023052
637.000000, 78.994037
636.000000, 78.963599
635.000000, 78.955719
634.000000, 78.940858
633.000000, 79.007531
632.000000, 79.025034
631.000000, 78.983655
630.000000, 78.972743
629.000000, 78.975063
628.000000, 78.961851
627.000000, 78.906008
626.000000, 78.922495
625.000000, 78.908984
624.000000, 78.867452
623.000000, 78.874673
622.000000, 78.862344
621.000000, 78.933981
620.000000, 78.984641
619.000000, 78.955546
618.000000, 78.921455
617.000000, 78.963272
616.000000, 78.905584
615.000000, 78.866125
614.000000, 78.883033
613.000000, 78.932625
612.000000, 78.979961
611.000000, 78.899284
610.000000, 78.905245
609.000000, 78.920650
608.000000, 78.952004
607.000000, 78.906591
606.000000, 78.850520
605.000000, 78.838308
604.000000, 78.857642
603.000000, 78.842841
602.000000, 78.829778
601.000000, 78.792345
600.000000, 78.726114
599.000000, 78.743082
598.000000, 78.770109
597.000000, 78.751167
596.000000, 78.713390
595.000000, 78.702165
594.000000, 78.736994
593.000000, 78.774485
592.000000, 78.662328
591.000000, 78.687875
590.000000, 78.705028
589.000000, 78.641753
588.000000, 78.647405
587.000000, 78.613649
586.000000, 78.631832
585.000000, 78.643006
584.000000, 78.607338
583.000000, 78.603509
582.000000, 78.654050
581.000000, 78.586723
580.000000, 78.678599
579.000000, 78.627242
578.000000, 78.623436
577.000000, 78.558676
576.000000, 78.538746
575.000000, 78.599184
574.000000, 78.595349
573.000000, 78.586472
572.000000, 78.641580
571.000000, 78.654124
570.000000, 78.657735
569.000000, 78.587778
568.000000, 78.589457
567.000000, 78.638542
566.000000, 78.612585
565.000000, 78.535923
564.000000, 78.500287
563.000000, 78.562181
562.000000, 78.456036
561.000000, 78.447270
560.000000, 78.460902
559.000000, 78.439428
558.000000, 78.443261
557.000000, 78.349996
556.000000, 78.400727
555.000000, 78.397574
554.000000, 78.405169
553.000000, 78.380889
552.000000, 78.351514
551.000000, 78.431873
550.000000, 78.497003
549.000000, 78.427890
548.000000, 78.386827
547.000000, 78.430482
546.000000, 78.409760
545.000000, 78.344456
544.000000, 78.355903
543.000000, 78.413097
542.000000, 78.376379
541.000000, 78.386702
540.000000, 78.351801
539.000000, 78.352175
538.000000, 78.270915
537.000000, 78.268331
536.000000, 78.239512
535.000000, 78.263253
534.000000, 78.260923
533.000000, 78.294191
532.000000, 78.205840
531.000000, 78.176527
530.000000, 78.245300
529.000000, 78.180235
528.000000, 78.185879
527.000000, 78.171107
526.000000, 78.118373
525.000000, 78.183682
524.000000, 78.194900
523.000000, 78.136927
522.000000, 78.223356
521.000000, 78.134771
520.000000, 78.140067
519.000000, 78.175422
518.000000, 78.115975
517.000000, 78.132260
516.000000, 78.123341
515.000000, 78.171587
514.000000, 78.209427
513.000000, 78.116425
512.000000, 78.066419
511.000000, 77.959217
510.000000, 78.013527
509.000000, 77.944992
508.000000, 78.023348
507.000000, 78.074336
506.000000, 78.014404
505.000000, 78.020616
504.000000, 77.960931
503.000000, 77.894046
502.000000, 77.923345
501.000000, 77.972439
500.000000, 77.935237
499.000000, 77.913948
498.000000, 77.840215
497.000000, 77.837768
496.000000, 77.847530
495.000000, 77.843292
494.000000, 77.803734
493.000000, 77.820940
492.000000, 77.737461
491.000000, 77.774223
490.000000, 77.676300
489.000000, 77.671802
488.000000, 77.685537
487.000000, 77.728108
486.000000, 77.624669
485.000000, 77.675558
484.000000, 77.699228
483.000000, 77.768799
482.000000, 77.702761
481.000000, 77.634788
480.000000, 77.641991
479.000000, 77.621753
478.000000, 77.606575
477.000000, 77.583821
476.000000, 77.562673
475.000000, 77.546920
474.000000, 77.514423
473.000000, 77.551257
472.000000, 77.531015
471.000000, 77.520590
470.000000, 77.522602
469.000000, 77.474849
468.000000, 77.463476
467.000000, 77.471883
466.000000, 77.446239
465.000000, 77.451149
464.000000, 77.355186
463.000000, 77.318321
462.000000, 77.286683
461.000000, 77.281489
460.000000, 77.186464
459.000000, 77.258178
458.000000, 77.357545
457.000000, 77.346471
