nm, %T
800.000000, 60.956455
799.000000, 60.825369
798.000000, 60.885586
797.000000, 60.940477
796.000000, 60.911185
795.000000, 61.022866
794.000000, 60.979313
793.000000, 61.006751
792.000000, 60.915128
791.000000, 60.980324
790.000000, 61.155063
789.000000, 61.051786
788.000000, 60.974330
787.000000, 61.023128
786.000000, 61.091853
785.000000, 61.044628
784.000000, 60.981454
783.000000, 60.884117
782.000000, 60.927086
781.000000, 61.134323
780.000000, 60.919704
779.000000, 61.011421
778.000000, 60.927247
777.000000, 60.878862
776.000000, 60.896146
775.000000, 60.975103
774.000000, 60.942143
773.000000, 60.837641
772.000000, 60.945101
771.000000, 60.957019
770.000000, 60.964470
769.000000, 60.986545
768.000000, 60.858594
767.000000, 60.874267
766.000000, 60.881455
765.000000, 60.839058
764.000000, 60.847542
763.000000, 60.799174
762.000000, 60.795193
761.000000, 60.939479
760.000000, 60.839591
759.000000, 60.924064
758.000000, 60.832596
757.000000, 60.923446
756.000000, 60.881072
755.000000, 60.824196
754.000000, 60.765917
753.000000, 60.853137
752.000000, 60.836030
751.000000, 60.808337
750.000000, 60.863085
749.000000, 60.737651
748.000000, 60.812481
747.000000, 60.790706
746.000000, 60.766123
745.000000, 60.860338
744.000000, 60.882953
743.000000, 60.807246
742.000000, 60.848705
741.000000, 60.902010
740.000000, 60.870096
739.000000, 60.916214
738.000000, 60.907086
737.000000, 60.801650
736.000000, 60.713518
735.000000, 60.785767
734.000000, 60.720776
733.000000, 60.778964
732.000000, 60.741080
731.000000, 60.768516
730.000000, 60.766793
729.000000, 60.787252
728.000000, 60.769872
727.000000, 60.710999
726.000000, 60.733599
725.000000, 60.752124
724.000000, 60.745812
723.000000, 60.765564
722.000000, 60.799886
721.000000, 60.690379
720.000000, 60.759740
719.000000, 60.823260
718.000000, 60.838501
717.000000, 60.863969
716.000000, 60.859369
715.000000, 60.835416
714.000000, 60.717484
713.000000, 60.700355
712.000000, 60.659550
711.000000, 60.685968
710.000000, 60.708630
709.000000, 60.736987
708.000000, 60.807982
707.000000, 60.812629
706.000000, 60.761263
705.000000, 60.735582
704.000000, 60.742276
703.000000, 60.694265
702.000000, 60.707820
701.000000, 60.732534
700.000000, 60.710816
699.000000, 60.751461
698.000000, 60.794496
697.000000, 60.724591
696.000000, 60.670890
695.000000, 60.643295
694.000000, 60.655807
693.000000, 60.675761
692.000000, 60.699580
691.000000, 60.671462
690.000000, 60.692924
689.000000, 60.712716
688.000000, 60.734211
687.000000, 60.731386
686.000000, 60.711305
685.000000, 60.680892
684.000000, 60.668969
683.000000, 60.717733
682.000000, 60.684421
681.000000, 60.631980
680.000000, 60.614729
679.000000, 60.661342
678.000000, 60.632087
677.000000, 60.661275
676.000000, 60.683315
675.000000, 60.667423
674.000000, 60.657812
673.000000, 60.633726
672.000000, 60.586940
671.000000, 60.590031
670.000000, 60.567800
669.000000, 60.539594
668.000000, 60.557194
667.000000, 60.574295
666.000000, 60.553823
665.000000, 60.583188
664.000000, 60.631224
663.000000, 60.669014
662.000000, 60.631446
661.000000, 60.557707
660.000000, 60.553489
659.000000, 60.574090
658.000000, 60.624758
657.000000, 60.641484
656.000000, 60.592463
655.000000, 60.585454
654.000000, 60.609208
653.000000, 60.617476
652.000000, 60.576986
651.000000, 60.530811
650.000000, 60.560077
649.000000, 60.567309
648.000000, 60.558170
647.000000, 60.567180
646.000000, 60.563189
645.000000, 60.567918
644.000000, 60.566861
643.000000, 60.542406
642.000000, 60.573615
641.000000, 60.625497
640.000000, 60.583945
