Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	2 s
EX Slit:	1.0 nm
EM Slit:	2.5 nm
PMT Voltage:	950 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	349.5
302.0	211.2
304.0	170.1
306.0	151.0
308.0	134.4
310.0	146.1
312.0	136.8
314.0	128.4
316.0	128.8
318.0	131.7
320.0	140.1
322.0	132.4
324.0	125.7
326.0	126.6
328.0	127.7
330.0	131.1
332.0	132.7
334.0	130.9
336.0	137.0
338.0	137.9
340.0	135.6
342.0	141.0
344.0	139.5
346.0	143.4
348.0	146.3
350.0	145.0
352.0	145.4
354.0	150.5
356.0	154.6
358.0	166.1
360.0	166.2
362.0	183.2
364.0	181.8
366.0	196.5
368.0	210.2
370.0	238.7
372.0	256.8
374.0	270.1
376.0	298.2
378.0	317.1
380.0	358.5
382.0	379.1
384.0	399.1
386.0	435.8
388.0	469.3
390.0	518.9
392.0	546.5
394.0	587.4
396.0	619.5
398.0	663.7
400.0	674.7
402.0	712.2
404.0	768.6
406.0	808.7
408.0	836.3
410.0	865.8
412.0	937.5
414.0	937.7
416.0	 1004
418.0	 1019
420.0	 1042
422.0	 1085
424.0	 1121
426.0	 1125
428.0	 1194
430.0	 1235
432.0	 1255
434.0	 1260
436.0	 1297
438.0	 1320
440.0	 1346
442.0	 1365
444.0	 1368
446.0	 1378
448.0	 1429
450.0	 1445
452.0	 1469
454.0	 1509
456.0	 1485
458.0	 1473
460.0	 1470
462.0	 1516
464.0	 1496
466.0	 1528
468.0	 1521
470.0	 1485
472.0	 1505
474.0	 1455
476.0	 1435
478.0	 1387
480.0	 1449
482.0	 1439
484.0	 1454
486.0	 1400
488.0	 1390
490.0	 1408
492.0	 1419
494.0	 1387
496.0	 1426
498.0	 1396
500.0	 1369
502.0	 1358
504.0	 1363
506.0	 1348
508.0	 1350
510.0	 1326
512.0	 1307
514.0	 1288
516.0	 1257
518.0	 1200
520.0	 1176
522.0	 1150
524.0	 1130
526.0	 1099
528.0	 1115
530.0	 1116
532.0	 1057
534.0	 1055
536.0	 1021
538.0	 1005
540.0	976.3
542.0	963.0
544.0	934.0
546.0	932.3
548.0	904.9
550.0	909.7
552.0	885.1
554.0	864.0
556.0	847.2
558.0	808.0
560.0	790.3
562.0	751.1
564.0	747.3
566.0	718.7
568.0	706.1
570.0	689.8
572.0	677.6
574.0	677.5
576.0	649.1
578.0	644.8
580.0	645.8
582.0	618.4
584.0	608.7
586.0	588.1
588.0	561.5
590.0	578.0
592.0	551.1
594.0	528.6
596.0	534.4
598.0	507.5
600.0	485.9
602.0	476.4
604.0	454.8
606.0	453.6
608.0	439.7
610.0	423.7
612.0	418.2
614.0	407.5
616.0	389.1
618.0	386.1
620.0	372.3
622.0	352.6
624.0	342.3
626.0	326.3
628.0	307.0
630.0	303.9
632.0	299.8
634.0	298.6
636.0	282.9
638.0	284.2
640.0	272.1
642.0	268.5
644.0	258.3
646.0	259.3
648.0	250.0
650.0	235.1
652.0	226.6
654.0	220.1
656.0	223.8
658.0	214.4
660.0	220.7
662.0	205.8
664.0	193.8
666.0	186.0
668.0	182.4
670.0	178.5
672.0	174.0
674.0	170.7
676.0	172.0
678.0	170.4
680.0	167.0
682.0	153.9
684.0	148.1
686.0	153.6
688.0	154.6
690.0	160.0
692.0	152.1
694.0	150.9
696.0	147.2
698.0	146.9
700.0	146.7
702.0	139.0
704.0	134.1
706.0	131.7
708.0	127.8
710.0	124.5
712.0	125.3
714.0	126.3
716.0	132.9
718.0	135.3
720.0	132.6
722.0	124.6
724.0	126.0
726.0	126.6
728.0	128.7
730.0	118.8
732.0	128.8
734.0	126.3
736.0	117.7
738.0	123.2
740.0	113.8
742.0	124.9
744.0	120.2
746.0	112.7
748.0	112.5
750.0	118.5
752.0	123.4
754.0	112.7
756.0	119.4
758.0	110.6
760.0	113.6
762.0	117.3
764.0	108.9
766.0	108.9
768.0	115.5
770.0	119.0
772.0	114.2
774.0	119.2
776.0	110.9
778.0	111.5
780.0	114.8
782.0	106.3
784.0	116.4
786.0	112.3
788.0	119.8
790.0	110.9
792.0	107.8
794.0	115.9
796.0	104.6
798.0	112.3
800.0	117.4

