Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	2 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	11.33
302.0	8.268
304.0	7.528
306.0	6.425
308.0	6.087
310.0	6.466
312.0	6.492
314.0	6.344
316.0	6.473
318.0	6.596
320.0	5.793
322.0	5.962
324.0	5.675
326.0	5.705
328.0	5.784
330.0	5.869
332.0	5.947
334.0	5.440
336.0	5.659
338.0	5.642
340.0	5.672
342.0	6.233
344.0	5.776
346.0	6.039
348.0	6.240
350.0	6.363
352.0	5.718
354.0	5.864
356.0	5.886
358.0	5.997
360.0	6.320
362.0	6.173
364.0	6.081
366.0	6.303
368.0	5.735
370.0	6.246
372.0	5.792
374.0	5.901
376.0	6.318
378.0	6.065
380.0	5.583
382.0	6.220
384.0	5.846
386.0	6.136
388.0	5.750
390.0	5.415
392.0	6.016
394.0	5.625
396.0	5.613
398.0	5.754
400.0	5.807
402.0	5.611
404.0	5.482
406.0	5.493
408.0	5.590
410.0	5.033
412.0	5.705
414.0	5.475
416.0	5.049
418.0	5.265
420.0	5.243
422.0	5.230
424.0	5.164
426.0	5.152
428.0	4.671
430.0	5.046
432.0	5.334
434.0	5.121
436.0	5.464
438.0	5.611
440.0	5.784
442.0	5.639
444.0	5.743
446.0	5.413
448.0	5.195
450.0	5.061
452.0	5.253
454.0	5.184
456.0	5.288
458.0	5.177
460.0	5.124
462.0	4.697
464.0	5.583
466.0	5.432
468.0	5.465
470.0	5.015
472.0	5.191
474.0	5.301
476.0	4.703
478.0	4.777
480.0	5.472
482.0	5.324
484.0	5.302
486.0	5.081
488.0	5.241
490.0	5.295
492.0	5.247
494.0	4.802
496.0	5.351
498.0	5.086
500.0	4.726
502.0	5.472
504.0	5.022
506.0	5.016
508.0	5.151
510.0	5.298
512.0	4.999
514.0	4.545
516.0	4.790
518.0	4.528
520.0	4.785
522.0	4.574
524.0	4.919
526.0	5.313
528.0	5.251
530.0	4.679
532.0	4.842
534.0	5.247
536.0	4.878
538.0	4.839
540.0	5.346
542.0	5.019
544.0	4.876
546.0	4.980
548.0	5.234
550.0	5.057
552.0	4.791
554.0	4.950
556.0	4.731
558.0	4.698
560.0	4.385
562.0	4.807
564.0	4.800
566.0	5.090
568.0	5.006
570.0	4.693
572.0	5.064
574.0	5.025
576.0	4.780
578.0	4.520
580.0	4.444
582.0	4.361
584.0	4.938
586.0	5.166
588.0	4.737
590.0	4.683
592.0	5.331
594.0	4.882
596.0	4.499
598.0	4.509
600.0	4.661
602.0	4.686
604.0	4.959
606.0	4.661
608.0	4.682
610.0	4.453
612.0	4.629
614.0	4.533
616.0	4.320
618.0	4.653
620.0	4.576
622.0	4.416
624.0	4.540
626.0	4.422
628.0	4.478
630.0	4.700
632.0	4.979
634.0	4.862
636.0	4.907
638.0	4.565
640.0	4.283
642.0	4.564
644.0	4.540
646.0	4.617
648.0	4.176
650.0	4.626
652.0	4.899
654.0	4.775
656.0	4.568
658.0	4.608
660.0	4.249
662.0	4.238
664.0	4.342
666.0	4.340
668.0	4.033
670.0	4.373
672.0	4.588
674.0	4.186
676.0	4.002
678.0	3.825
680.0	3.815
682.0	4.122
684.0	4.220
686.0	4.257
688.0	4.181
690.0	4.273
692.0	4.390
694.0	4.230
696.0	4.136
698.0	4.581
700.0	4.190
702.0	3.840
704.0	3.788
706.0	4.050
708.0	3.858
710.0	3.974
712.0	3.837
714.0	3.530
716.0	3.406
718.0	3.676
720.0	3.968
722.0	4.211
724.0	4.048
726.0	3.654
728.0	3.247
730.0	3.454
732.0	3.600
734.0	3.818
736.0	3.834
738.0	3.662
740.0	3.677
742.0	3.607
744.0	3.785
746.0	3.763
748.0	3.659
750.0	3.597
752.0	3.686
754.0	3.608
756.0	4.156
758.0	4.068
760.0	3.639
762.0	3.969
764.0	3.867
766.0	3.758
768.0	3.699
770.0	3.498
772.0	3.532
774.0	3.721
776.0	3.665
778.0	3.362
780.0	3.536
782.0	3.855
784.0	3.806
786.0	3.747
788.0	3.643
790.0	3.564
792.0	3.955
794.0	3.552
796.0	3.523
798.0	3.650
800.0	3.537

