Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	2 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	0.000
302.0	3.755
304.0	4.636
306.0	5.791
308.0	6.685
310.0	6.249
312.0	5.973
314.0	6.389
316.0	6.450
318.0	6.201
320.0	6.465
322.0	6.430
324.0	5.885
326.0	6.379
328.0	6.735
330.0	6.636
332.0	6.726
334.0	7.182
336.0	6.955
338.0	7.141
340.0	7.141
342.0	7.762
344.0	8.072
346.0	8.677
348.0	9.440
350.0	11.21
352.0	12.21
354.0	13.63
356.0	16.36
358.0	19.03
360.0	23.16
362.0	27.97
364.0	34.56
366.0	39.90
368.0	49.22
370.0	58.68
372.0	69.19
374.0	81.24
376.0	95.67
378.0	109.9
380.0	127.2
382.0	149.1
384.0	168.7
386.0	190.1
388.0	219.1
390.0	238.8
392.0	264.1
394.0	285.3
396.0	315.5
398.0	343.0
400.0	368.1
402.0	399.9
404.0	437.4
406.0	463.7
408.0	490.9
410.0	514.3
412.0	541.5
414.0	578.7
416.0	598.4
418.0	634.9
420.0	659.1
422.0	681.2
424.0	706.7
426.0	733.2
428.0	742.9
430.0	765.3
432.0	802.2
434.0	817.1
436.0	824.0
438.0	854.9
440.0	887.7
442.0	913.4
444.0	931.2
446.0	925.9
448.0	949.5
450.0	961.1
452.0	958.5
454.0	981.6
456.0	985.6
458.0	962.4
460.0	972.9
462.0	991.1
464.0	982.9
466.0	979.0
468.0	992.6
470.0	978.9
472.0	994.6
474.0	993.7
476.0	976.2
478.0	961.1
480.0	945.9
482.0	943.7
484.0	939.4
486.0	937.8
488.0	937.6
490.0	928.3
492.0	937.8
494.0	946.4
496.0	931.5
498.0	926.2
500.0	895.7
502.0	918.1
504.0	887.4
506.0	860.5
508.0	863.2
510.0	853.9
512.0	831.1
514.0	826.1
516.0	802.5
518.0	804.8
520.0	799.9
522.0	782.1
524.0	782.7
526.0	767.6
528.0	725.3
530.0	710.6
532.0	709.0
534.0	701.6
536.0	671.5
538.0	647.6
540.0	618.1
542.0	617.6
544.0	600.6
546.0	590.4
548.0	560.8
550.0	541.7
552.0	533.6
554.0	518.0
556.0	515.2
558.0	495.7
560.0	468.4
562.0	467.2
564.0	453.6
566.0	444.6
568.0	426.4
570.0	417.9
572.0	411.5
574.0	406.5
576.0	377.1
578.0	378.9
580.0	355.2
582.0	346.6
584.0	321.8
586.0	324.8
588.0	316.0
590.0	296.9
592.0	281.0
594.0	271.9
596.0	262.9
598.0	264.8
600.0	249.9
602.0	243.8
604.0	241.0
606.0	223.9
608.0	207.9
610.0	198.8
612.0	199.7
614.0	187.4
616.0	179.4
618.0	175.3
620.0	159.3
622.0	153.3
624.0	147.9
626.0	140.5
628.0	137.4
630.0	133.1
632.0	121.4
634.0	114.5
636.0	109.5
638.0	104.5
640.0	95.84
642.0	88.47
644.0	86.16
646.0	77.93
648.0	72.93
650.0	71.11
652.0	67.57
654.0	63.11
656.0	61.66
658.0	59.12
660.0	54.09
662.0	51.74
664.0	50.05
666.0	45.55
668.0	42.06
670.0	39.82
672.0	37.91
674.0	35.20
676.0	32.97
678.0	31.72
680.0	30.20
682.0	29.71
684.0	26.33
686.0	25.42
688.0	23.93
690.0	23.87
692.0	21.70
694.0	20.63
696.0	20.13
698.0	19.46
700.0	19.00
702.0	17.74
704.0	16.39
706.0	17.22
708.0	17.06
710.0	16.15
712.0	15.64
714.0	14.70
716.0	14.05
718.0	14.04
720.0	13.35
722.0	13.30
724.0	13.21
726.0	12.04
728.0	11.36
730.0	11.67
732.0	11.72
734.0	10.97
736.0	11.21
738.0	11.21
740.0	10.66
742.0	10.05
744.0	9.745
746.0	9.900
748.0	9.423
750.0	9.108
752.0	8.847
754.0	9.361
756.0	9.373
758.0	8.888
760.0	8.536
762.0	8.285
764.0	7.968
766.0	7.905
768.0	8.151
770.0	8.529
772.0	8.439
774.0	8.291
776.0	7.792
778.0	8.143
780.0	8.720
782.0	8.739
784.0	8.007
786.0	8.108
788.0	7.904
790.0	7.564
792.0	7.827
794.0	7.900
796.0	8.227
798.0	8.607
800.0	8.274

